,Date,Ticker,Transaction,Transaction Price,Number of shares,Transaction Cost,Close
899,2014-09-24,AAPL,,,,,101.75
902,2014-09-25,TSLA,,,,,246.95
901,2014-09-25,AAPL,,,,,97.87
904,2014-09-26,TSLA,,,,,246.6
903,2014-09-26,AAPL,,,,,100.75
905,2014-09-29,AAPL,,,,,100.11
906,2014-09-29,TSLA,,,,,245.26
907,2014-09-30,AAPL,,,,,100.75
908,2014-09-30,TSLA,,,,,242.68
909,2014-10-01,AAPL,,,,,99.18
910,2014-10-01,TSLA,,,,,240.24
911,2014-10-02,AAPL,,,,,99.9
912,2014-10-02,TSLA,,,,,251.42
913,2014-10-03,AAPL,,,,,99.62
914,2014-10-03,TSLA,,,,,255.21
915,2014-10-06,AAPL,,,,,99.62
916,2014-10-06,TSLA,,,,,260.62
917,2014-10-07,TSLA,,,,,259.57
918,2014-10-07,AAPL,,,,,98.75
919,2014-10-08,TSLA,,,,,259.28
920,2014-10-08,AAPL,,,,,100.8
921,2014-10-09,TSLA,,,,,257.01
922,2014-10-09,AAPL,,,,,101.02
923,2014-10-10,AAPL,,,,,100.73
924,2014-10-10,TSLA,,,,,236.91
926,2014-10-13,AAPL,,,,,99.81
925,2014-10-13,TSLA,,,,,224.59
927,2014-10-14,TSLA,,,,,227.06
928,2014-10-14,AAPL,,,,,98.75
930,2014-10-15,AAPL,,,,,97.54
929,2014-10-15,TSLA,,,,,229.7
932,2014-10-16,TSLA,,,,,226.35
931,2014-10-16,AAPL,,,,,96.26
934,2014-10-17,TSLA,,,,,227.48
933,2014-10-17,AAPL,,,,,97.67
935,2014-10-20,AAPL,,,,,99.76
936,2014-10-20,TSLA,,,,,230.47
937,2014-10-21,TSLA,,,,,235.34
938,2014-10-21,AAPL,,,,,102.47
939,2014-10-22,TSLA,,,,,231.1
940,2014-10-22,AAPL,,,,,102.99
941,2014-10-23,TSLA,,,,,235.29
942,2014-10-23,AAPL,,,,,104.83
944,2014-10-24,AAPL,,,,,105.22
943,2014-10-24,TSLA,,,,,235.24
945,2014-10-27,TSLA,,,,,221.67
946,2014-10-27,AAPL,,,,,105.11
947,2014-10-28,AAPL,,,,,106.74
948,2014-10-28,TSLA,,,,,242.77
949,2014-10-29,AAPL,,,,,107.34
950,2014-10-29,TSLA,,,,,238.1
951,2014-10-30,TSLA,,,,,238.66
952,2014-10-30,AAPL,,,,,106.98
953,2014-10-31,AAPL,,,,,108.0
954,2014-10-31,TSLA,,,,,241.7
956,2014-11-03,AAPL,,,,,109.4
955,2014-11-03,TSLA,,,,,242.59
