,Date,Ticker,Transaction,Transaction Price,Number of shares,Transaction Cost,Close,Net Shares,Cummulative Shares,Avg Price per Share,Cummulative Contributions,Daily Balance,Unrealized Gains(Losses)
126,2012-08-31,AAPL,,,0.0,,95.03,-0.0,100.0,77.8,7780.0,9503.0,1723.0
127,2012-09-04,AAPL,,,0.0,,96.42,-0.0,100.0,77.8,7780.0,9642.0,1862.0
128,2012-09-05,AAPL,,,0.0,,95.75,-0.0,100.0,77.8,7780.0,9575.0,1795.0
129,2012-09-06,AAPL,,,0.0,,96.61,-0.0,100.0,77.8,7780.0,9661.0,1881.0
130,2012-09-07,AAPL,,,0.0,,97.21,-0.0,100.0,77.8,7780.0,9721.0,1941.0
131,2012-09-10,AAPL,,,0.0,,94.68,-0.0,100.0,77.8,7780.0,9468.0,1688.0
132,2012-09-11,AAPL,,,0.0,,94.37,-0.0,100.0,77.8,7780.0,9437.0,1657.0
133,2012-09-12,AAPL,,,0.0,,95.68,-0.0,100.0,77.8,7780.0,9568.0,1788.0
134,2012-09-13,AAPL,,,0.0,,97.57,-0.0,100.0,77.8,7780.0,9757.0,1977.0
135,2012-09-14,AAPL,,,0.0,,98.75,-0.0,100.0,77.8,7780.0,9875.0,2095.0
136,2012-09-17,AAPL,,,0.0,,99.97,-0.0,100.0,77.8,7780.0,9997.0,2217.0
137,2012-09-18,AAPL,,,0.0,,100.27,-0.0,100.0,77.8,7780.0,10027.0,2247.0
138,2012-09-19,AAPL,,,0.0,,100.3,-0.0,100.0,77.8,7780.0,10030.0,2250.0
139,2012-09-20,AAPL,,,0.0,,99.81,-0.0,100.0,77.8,7780.0,9981.0,2201.0
140,2012-09-21,AAPL,,,0.0,,100.01,-0.0,100.0,77.8,7780.0,10001.0,2221.0
141,2012-09-24,AAPL,,,0.0,,98.68,-0.0,100.0,77.8,7780.0,9868.0,2088.0
142,2012-09-25,AAPL,,,0.0,,96.22,-0.0,100.0,77.8,7780.0,9622.0,1842.0
143,2012-09-26,AAPL,,,0.0,,95.03,-0.0,100.0,77.8,7780.0,9503.0,1723.0
144,2012-09-27,AAPL,,,0.0,,97.33,-0.0,100.0,77.8,7780.0,9733.0,1953.0
145,2012-09-28,AAPL,,,0.0,,95.3,-0.0,100.0,77.8,7780.0,9530.0,1750.0
146,2012-10-01,AAPL,,,0.0,,94.2,-0.0,100.0,77.8,7780.0,9420.0,1640.0
147,2012-10-02,AAPL,,,0.0,,94.47,-0.0,100.0,77.8,7780.0,9447.0,1667.0
148,2012-10-03,AAPL,,,0.0,,95.92,-0.0,100.0,77.8,7780.0,9592.0,1812.0
